stock_symbol,open_price,current_price,high_price,low_price,trading_volume,market_trend,date
TSLA,397.6099853515625,389.7900085449219,404.79998779296875,378.010009765625,96359200,Downward,2024-12-09
TSLA,392.67999267578125,400.989990234375,409.7300109863281,390.8500061035156,97563600,Upward,2024-12-10
TSLA,409.70001220703125,424.7699890136719,424.8800048828125,402.3800048828125,104287600,Upward,2024-12-11
TSLA,424.8399963378906,418.1000061035156,429.29998779296875,415,87752200,Downward,2024-12-12
TSLA,420,436.2300109863281,436.29998779296875,415.7099914550781,89000200,Upward,2024-12-13
TSLA,441.0899963378906,463.0199890136719,463.19000244140625,436.1499938964844,114083800,Upward,2024-12-16
TSLA,475.8999938964844,479.8599853515625,483.989990234375,457.510009765625,130268400,Upward,2024-12-17
AMZN,194.27000427246094,193.9600067138672,195.3699951171875,190.1300048828125,43478900,Downward,2024-09-24
AMZN,193.75,192.52999877929688,193.9499969482422,192.16000366210938,26391100,Downward,2024-09-25
AMZN,194.30999755859375,191.16000366210938,194.52999877929688,189.5399932861328,36334900,Downward,2024-09-26
AMZN,190.67999267578125,187.97000122070312,190.89999389648438,187.33999633789062,36002300,Downward,2024-09-27
AMZN,187.13999938964844,186.3300018310547,188.49000549316406,184.64999389648438,41583900,Downward,2024-09-30
AMZN,184.89999389648438,185.1300048828125,186.19000244140625,183.4499969482422,36044900,Upward,2024-10-01
AMZN,184.44000244140625,184.75999450683594,186.60000610351562,184.0399932861328,23704100,Upward,2024-10-02
AMZN,183.0500030517578,181.9600067138672,183.44000244140625,180.8800048828125,30204300,Downward,2024-10-03
AMZN,185.75,186.50999450683594,187.60000610351562,183.60000610351562,40890300,Upward,2024-10-04
AMZN,182.9499969482422,180.8000030517578,183.60000610351562,180.25,42364200,Downward,2024-10-07
AMZN,181.9199981689453,182.72000122070312,183.08999633789062,180.9199981689453,26372100,Upward,2024-10-08
AMZN,182.82000732421875,185.1699981689453,185.85000610351562,182.0500030517578,26343100,Upward,2024-10-09
AMZN,187.1300048828125,186.64999389648438,188.1300048828125,185.8300018310547,27785000,Downward,2024-10-10
AMZN,186.6300048828125,188.82000732421875,189.92999267578125,186.3000030517578,25751600,Upward,2024-10-11
AMZN,189.77999877929688,187.5399932861328,189.8300018310547,187.36000061035156,22614400,Downward,2024-10-14
AMZN,187.6300048828125,187.69000244140625,188.41000366210938,184.5800018310547,32178900,Upward,2024-10-15
AMZN,187.0500030517578,186.88999938964844,187.77999877929688,185.61000061035156,23456800,Downward,2024-10-16
AMZN,188.22000122070312,187.52999877929688,188.94000244140625,186,25039400,Downward,2024-10-17
AMZN,187.14999389648438,188.99000549316406,190.74000549316406,186.27999877929688,37417700,Upward,2024-10-18
AMZN,188.0500030517578,189.07000732421875,189.4600067138672,186.39999389648438,24639400,Upward,2024-10-21
AMZN,188.35000610351562,189.6999969482422,191.52000427246094,186.97999572753906,29650600,Upward,2024-10-22
AMZN,188.85000610351562,184.7100067138672,189.16000366210938,183.69000244140625,31937100,Downward,2024-10-23
AMZN,185.25,186.3800048828125,187.11000061035156,183.86000061035156,21647400,Upward,2024-10-24
AMZN,187.85000610351562,187.8300018310547,190.4499969482422,187.52999877929688,29362100,Downward,2024-10-25
AMZN,189.57000732421875,188.38999938964844,190.2100067138672,188.2100067138672,27930800,Downward,2024-10-28
AMZN,188.5800018310547,190.8300018310547,191.4600067138672,187.82000732421875,35690200,Upward,2024-10-29
AMZN,194.6999969482422,192.72999572753906,195.61000061035156,192.4199981689453,37707600,Downward,2024-10-30
AMZN,190.50999450683594,186.39999389648438,190.60000610351562,185.22999572753906,75146800,Downward,2024-10-31
AMZN,199,197.92999267578125,200.5,197.02000427246094,99687800,Downward,2024-11-01
